,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date,Month,Arrival_hours,Arrival_minutes,Dept_hour,Dept_min,Total_Duration_time_in_minutes,Departure_Time
0,IndiGo,Banglore,New Delhi,0,No info,3897,24,3,1,10,22,20,170,1340
1,Air India,Kolkata,Banglore,2,No info,7662,1,5,13,15,5,50,445,350
2,Jet Airways,Delhi,Cochin,2,No info,13882,9,6,4,25,9,25,1140,565
3,IndiGo,Kolkata,Banglore,1,No info,6218,12,5,23,30,18,5,325,1085
4,IndiGo,Banglore,New Delhi,1,No info,13302,1,3,21,35,16,50,285,1010
5,SpiceJet,Kolkata,Banglore,0,No info,3873,24,6,11,25,9,0,145,540
6,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,10,25,18,55,930,1135
7,Jet Airways,Banglore,New Delhi,1,No info,22270,1,3,5,5,8,0,1265,480
8,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,10,25,8,55,1530,535
9,Multiple carriers,Delhi,Cochin,1,No info,8625,27,5,19,15,11,25,470,685
10,Air India,Delhi,Cochin,1,No info,8907,1,6,23,0,9,45,795,585
11,IndiGo,Kolkata,Banglore,0,No info,4174,18,4,22,55,20,20,155,1220
12,Air India,Chennai,Kolkata,0,No info,4667,24,6,13,55,11,40,135,700
13,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,9,5,9,20,21,10,730,1270
14,IndiGo,Kolkata,Banglore,0,No info,4804,24,4,19,50,17,15,155,1035
15,Air India,Delhi,Cochin,2,No info,14011,3,3,19,15,16,40,1595,1000
16,SpiceJet,Delhi,Cochin,1,No info,5830,15,4,13,15,8,45,270,525
17,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,12,6,12,35,14,0,1355,840
18,Air India,Delhi,Cochin,2,No info,13381,12,6,19,15,20,15,1380,1215
19,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,12,35,16,0,1235,960
20,GoAir,Delhi,Cochin,1,No info,19495,6,3,19,20,14,10,310,850
21,Air India,Banglore,New Delhi,1,No info,6955,21,3,13,20,22,0,920,1320
22,IndiGo,Banglore,Delhi,0,No info,3943,3,4,6,50,4,0,170,240
23,IndiGo,Banglore,Delhi,0,No info,4823,1,5,21,50,18,55,175,1135
24,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,6,5,8,15,18,55,800,1135
25,Jet Airways,Delhi,Cochin,2,No info,13292,9,6,12,35,21,25,910,1285
26,IndiGo,Delhi,Cochin,1,No info,8238,1,6,3,35,21,50,345,1310
27,GoAir,Delhi,Cochin,1,No info,7682,15,5,12,55,7,0,355,420
